employer_id,title,summary,location_status,skills_required,qualifications,holland_code_preference,compensation,duration,positions_available,national_registered_status
25,Mechanical Engineering Apprentice,"Work on machinery design, testing, and maintenance in an industrial environment.","Atlanta, GA","Teaching, Curriculum development, Public speaking",Complete 1500 hours of hands-on experience,ECS,$30/hour,3 months,1,No
23,Data Analyst Apprentice,Analyze data sets and support the team in developing actionable insights and reports.,"Seattle, WA","Teaching, Curriculum development, Public speaking",Minimum of 20 hours per week with consistent performance,RIA,$22/hour,9 months,5,Yes
25,Mechanical Engineering Apprentice,"Work on machinery design, testing, and maintenance in an industrial environment.","San Francisco, CA","Empathy, Case management, Crisis intervention",Minimum of 20 hours per week with consistent performance,RIA,$20/hour,6 months,3,Yes
23,Network Engineering Apprentice,"Learn to configure, maintain, and troubleshoot network infrastructure.","Atlanta, GA","Patient care, Communication, Attention to detail",Commitment of 25-30 hours per week expected,AES,$25/hour,3 months,5,No
23,Cybersecurity Apprentice,"Gain practical skills in network security, threat analysis, and data protection.","Chicago, IL","Teaching, Curriculum development, Public speaking",Must commit to 1000 on-the-job training hours,AES,$22/hour,6 months,3,No
25,Electrician Apprentice,"Train in electrical systems installation, maintenance, and repair in residential and commercial buildings.","Atlanta, GA","Empathy, Case management, Crisis intervention",Minimum of 20 hours per week with consistent performance,SIA,$22/hour,3 months,4,No
25,Project Management Apprentice,"Assist in planning, coordinating, and executing projects across various teams.","Atlanta, GA","Blueprint reading, Physical stamina, Hand tools",Commitment of 25-30 hours per week expected,ECS,$30/hour,9 months,5,No
29,Laboratory Technician Apprentice,"Perform sample analysis, assist in experiments, and maintain lab equipment.","Seattle, WA","Patient care, Communication, Attention to detail",Complete 1500 hours of hands-on experience,SIA,$28/hour,6 months,1,No
24,Occupational Therapy Assistant Apprentice,Support therapists in helping patients improve their physical abilities.,"Chicago, IL","Empathy, Case management, Crisis intervention",Commitment of 25-30 hours per week expected,IEC,$22/hour,3 months,2,No
32,Teacher Assistant Apprentice,"Support teachers with lesson preparation, classroom management, and student supervision.","Boston, MA","Patient care, Communication, Attention to detail",Complete 1500 hours of hands-on experience,SIA,$28/hour,6 months,5,Yes
